county_name,median_age,mean_savings,per_capita_income,percent_in_poverty,percent_veterans,percent_female,population_density,percent_in_nursing_homes,crime_index_PC,state,clinton_win
Graham,29.4,49789,11037,26.1,9.26,48.61,6,4.28,241,AZ,0
Maricopa,32,90041,19451,16,9.55,50.86,240.4,3.18,760,AZ,0
Mohave,40.7,74282,14589,17.7,9.32,50.17,7.9,2.95,625,AZ,0
Navajo,26.5,33766,10568,31.2,6.71,50.23,8.1,1.54,310,AZ,1
Pima,32.8,65541,16747,19,11.02,50.94,75.3,3.32,854,AZ,1
Pinal,32.6,44067,12724,25.7,9.45,48.66,22.4,2.72,563,AZ,1
Santa Cruz,29.5,128167,12100,27.4,5.4,52.17,26.2,1.33,600,AZ,1
Yavapai,42.4,95144,15378,15,9.69,51.07,14.3,6.25,337,AZ,0
Yuma,30.5,60526,13091,28,9.48,49.01,21.5,3.3,63,AZ,0
Arkansas,35.5,177652,15327,19.6,12.91,52.74,21.6,13.08,457,AR,1
Ashley,33.9,74124,15044,21.3,11.9,52.08,26.7,10.77,373,AR,1
Baxter,47.1,121231,15577,14.9,12.29,52.25,58.8,7.45,109,AR,1
Benton,35.9,97252,18124,9.8,10,51.18,125.2,5.76,345,AR,0
Boone,36.5,62629,14605,14.2,11.15,52.07,49.6,13.24,168,AR,1
Bradley,36.6,132909,14936,23.8,10.22,52.44,17.8,16.72,304,AR,1
Calhoun,34.3,49484,12475,17.9,10.16,51.73,9.1,9.47,160,AR,1
Carroll,38.1,133734,14860,14.6,10.97,51.66,30.8,6.51,285,AR,1
Chicot,31.9,76209,12669,38.8,7.3,53.29,24.4,4.33,417,AR,1
Clark,32.2,119620,13403,20.6,11.22,52.48,24.8,10.88,202,AR,1
Clay,39.5,80249,13406,19,12.39,52.09,28,10.34,142,AR,1
Cleburne,41.7,105408,13970,16.7,11.71,51.46,36.7,10.54,219,AR,1
Cleveland,35.7,26922,12675,17.2,11.14,51.39,13.2,9.37,54,AR,1
Columbia,33.6,155722,14294,23.6,9.75,53.08,33.5,9.81,232,AR,1
Conway,34.7,59808,14486,18.5,12.49,52.17,34.7,9.43,177,AR,1
Craighead,31.6,87122,15310,16.8,9.13,51.85,99.9,8.46,445,AR,1
Crawford,32.6,60472,12673,18,10.37,51.09,74.4,11.87,297,AR,0
Crittenden,29.8,47128,14202,28,8.9,52.88,81.2,4.62,513,AR,1
Cross,32.2,105683,13750,24.9,9.14,51.97,31.2,7.86,242,AR,1
Dallas,36.4,90482,14782,21.3,11.05,52.12,14.2,19.05,296,AR,1
Desha,31.5,98155,13154,30.6,9.64,53.29,21.3,10.98,523,AR,1
Drew,31.8,84350,13477,19.6,10.36,51.7,20.8,8.02,123,AR,1
Faulkner,29.8,60028,15191,12.3,8.51,51.62,99.3,3.34,391,AR,1
Franklin,35.4,84306,12860,15.9,12.57,50.38,24.9,9.08,188,AR,1
Fulton,40.6,86435,10690,25.6,14.65,52,16.2,11.4,149,AR,1
Garland,40.8,95715,17457,17.9,13.66,52.32,112.1,8.38,554,AR,1
Grant,34.4,40619,14534,13,11.86,50.75,22.8,7.5,208,AR,1
Greene,35.5,87692,13029,16.4,10.61,51.59,56.8,7.47,265,AR,1
Hempstead,34.3,116516,13034,23.3,10.93,52.43,30.2,8.82,437,AR,1
Hot Spring,36.4,89702,12622,18.6,12.24,51.71,42.9,9.39,299,AR,1
Howard,34.5,109796,15854,17.5,9.15,51.86,23.3,25.99,151,AR,1
Independence,34.8,101619,14704,16.5,11.48,51.38,41.4,7.97,335,AR,1
Izard,43.9,97572,12867,21.1,12.57,51.04,20.3,16.61,49,AR,1
Jackson,36.7,79717,14215,23.9,11.42,52.21,29.8,12.43,280,AR,1
Jefferson,31.9,93840,14208,27.6,11.59,51.86,96.2,8.17,594,AR,1
Johnson,35.3,80327,12801,18,12.1,51.14,28.2,8.88,236,AR,1
Lafayette,35.1,102237,11796,30,9.03,52.41,17.9,11.06,136,AR,1
Lawrence,36.7,81939,12210,23.8,10.53,51.95,29.7,14.43,128,AR,1
Lee,31.9,45369,11213,45.4,7.94,52.1,21.4,6.51,471,AR,1
Lincoln,32.2,39478,10859,29,8.95,41.04,24.8,10.58,60,AR,1
Little River,33.8,73347,14504,19.1,11.83,51.47,25.8,10.51,206,AR,1
Logan,35.3,82325,13428,18.7,11.8,50.65,29.3,15.48,89,AR,1
Lonoke,32.5,65589,15744,14.2,9.02,50.83,53.4,11.64,215,AR,1
Madison,36,69156,13857,17.3,11.61,50.84,14.7,5.61,108,AR,1
Marion,42.7,70869,12902,19.1,13.59,51.16,20.9,7.76,127,AR,1
Miller,32.7,117603,13585,22.8,11.18,52.29,61.8,8.63,881,AR,1
Mississippi,29.4,62732,13954,26.2,9.06,51.81,61.2,6.78,822,AR,1
Monroe,34.5,106861,13899,33,11.48,53.01,18,10.55,294,AR,1
Montgomery,40.1,54338,12035,22.5,13.63,50.68,10.2,6.88,180,AR,1
Nevada,35.6,70636,12803,19.9,11.44,52.27,16.1,17.1,74,AR,1
Newton,35.7,47612,10483,26.3,12.17,49.95,9.2,5.53,30,AR,1
Ouachita,35.2,71745,14052,22.1,11.88,52.83,40.4,11.86,442,AR,1
Perry,36.4,55942,12829,16.7,10.89,50.99,15.1,9.04,92,AR,1
Phillips,30.8,88659,12440,42.7,9.3,54.29,40.6,9.47,464,AR,1
Pike,36.4,130671,14460,17.4,12.27,51.18,16.6,14.1,71,AR,1
Poinsett,34.6,89898,13199,26.6,11.03,51.9,32.2,7.21,184,AR,1
Polk,38,87606,13423,21,14.06,51.22,20.6,9.72,169,AR,1
Pope,31.8,83848,15627,16,9.9,50.59,59.2,8.75,309,AR,0
Pulaski,32.4,105797,20027,17.1,12.57,52.52,458,5.73,1130,AR,1
Randolph,36.6,60560,11488,21.4,11.69,51.61,25.9,10.47,146,AR,1
St. Francis,31,59719,12171,35.7,8.24,53.46,44.5,11.35,771,AR,1
Saline,33.4,35739,15059,9.3,10.63,50.47,92.6,8.78,365,AR,1
Scott,36.2,92731,12566,21.1,10.9,50.81,11.6,10,97,AR,1
Sebastian,33.7,110853,18033,15.4,13.35,52.14,189.2,7.7,626,AR,0
Sevier,34.9,96997,14560,19.4,13.04,50.4,25.4,11.96,296,AR,1
Sharp,44.8,114766,12013,20.6,13.32,52.25,24.8,13.73,145,AR,1
Stone,39.2,62499,12046,23.9,9.64,50.93,16.8,9.02,112,AR,1
Union,34.5,113471,17626,19.2,11.76,52.7,44.9,12.73,475,AR,1
Van Buren,43.2,86181,12238,21.6,14.25,50.76,20,7.32,197,AR,1
Washington,30.8,97273,16784,11.7,10.15,50.51,126.4,6.11,429,AR,1
White,33.1,90898,13283,17.9,9.43,51.36,55,7.33,290,AR,1
Woodruff,34.3,98385,14331,31.8,9.55,52.87,15.7,12.61,59,AR,1
Yell,35.6,108440,14876,16.9,11.31,51.28,19.5,13.7,317,AR,1
Alameda,32.7,76414,23707,12.3,11.3,55.39,1774.1,4.01,837,CA,1
Amador,37.9,92568,16612,9.5,10.46,44.53,53.8,5.64,243,CA,0
Butte,33.8,61001,16197,19,10.72,51.18,115.5,3.71,538,CA,1
Calaveras,39.5,48330,16325,11.5,9.9,50.29,34.6,3.68,351,CA,0
Colusa,32.1,107363,19360,17.4,9.31,48.74,14.7,3.2,389,CA,0
Contra Costa,34.1,106163,27158,9,11.37,50.99,1166,2.88,606,CA,1
Del Norte,32.3,36592,12792,19.9,10.38,44.54,26.4,3.05,371,CA,1
El Dorado,35.3,40039,20424,8.5,10.21,49.92,80.3,1.95,379,CA,0
Fresno,29.3,59965,16854,28.1,8.47,50.38,118.4,4.26,910,CA,1
Glenn,32.6,82020,14674,19.5,10.49,49.89,19.4,2.9,380,CA,0
Humboldt,33.1,66404,16831,17.3,12.57,50.29,34.1,4.23,534,CA,1
Imperial,28.8,59797,13987,28.6,6.64,49.98,30.8,1.84,690,CA,1
Inyo,39,73921,18100,12.8,15.95,51.03,1.8,4.67,322,CA,0
Kern,29.7,44347,15963,21.8,8.55,49.4,72.2,2.43,648,CA,0
Kings,28.1,43635,13191,22.5,6.83,45.78,76.9,2.57,437,CA,0
Lassen,31.9,47613,14409,15.6,12.58,42.19,6.1,4.39,221,CA,0
Los Angeles,30.7,88044,21577,23.8,9.66,50.14,2233.5,3.55,762,CA,1
Madera,31.9,38324,15024,20.9,7.59,48.52,46.2,3.69,521,CA,0
Marin,38.1,105449,37387,6.4,14.66,50.2,449.2,5.18,398,CA,1
Mendocino,35.6,79473,17246,16.8,12.32,50.02,23.3,4.71,471,CA,1
Merced,27.9,42895,14962,24.5,7.67,49.21,98.1,2.26,509,CA,1
Modoc,37.2,74228,14472,18.2,11.78,48.96,2.5,6.12,231,CA,0
Monterey,29.6,64775,21143,16.1,9.85,48.48,111,2.84,533,CA,1
Napa,36.4,93299,24461,9.2,13.87,50.69,150.9,7.9,480,CA,1
Nevada,39.3,72156,18855,9.5,10.14,50.77,87,3.17,334,CA,0
Orange,31.4,82212,24996,12.6,10.7,52.17,3147.8,2.49,571,CA,0
Placer,35.1,73442,22748,8.5,9.72,50.56,133.2,3.64,463,CA,0
Plumas,39,75850,17503,11.5,14.41,50.12,8.1,3.93,559,CA,1
Riverside,31.5,41389,17969,15,7.31,50.11,179,2.48,738,CA,1
Sacramento,31.9,62605,20397,16.3,11.14,51.2,1130.3,3.05,763,CA,1
San Benito,30.3,60184,17122,12.9,7.12,49.27,27.7,2.88,428,CA,1
San Bernardino,29.3,31179,16388,17.5,8.15,50.05,76.4,2.4,691,CA,1
San Diego,30.9,68605,20689,16.3,10.3,52.7,618.8,2.73,660,CA,1
San Francisco,35.8,360313,31918,13.5,11.39,53.45,15621,3.9,1082,CA,1
San Joaquin,30.9,66194,17138,18.8,8.56,49.23,360.2,4.02,815,CA,1
San Luis Obispo,33.1,67268,18261,12.7,10.01,48.53,66.8,3.7,383,CA,1
San Mateo,34.8,88188,30531,6.9,12.71,50.85,1476.7,3.41,447,CA,1
Santa Barbara,31.6,90068,23680,14.5,11.01,49.36,137.5,2.79,503,CA,1
Santa Clara,31.9,92634,26772,9.2,11.42,55.09,1183.1,2.92,489,CA,1
Santa Cruz,33,64480,23076,13.8,10.33,50.03,519.2,4.31,608,CA,1
Shasta,34.9,70305,17292,15.9,11.18,50.97,41.6,3.29,469,CA,0
Siskiyou,37.3,83006,15864,16.6,14.49,50.65,7,3.24,403,CA,1
Solano,30.8,43141,18901,9.7,10.11,50.17,435.3,2.75,628,CA,1
Sonoma,34.8,72064,22928,10.4,10.88,50.82,255.4,3.86,490,CA,1
Stanislaus,30.5,57185,16787,17.2,8.09,50.41,264.4,4.41,668,CA,1
Sutter,32.4,60863,18574,15.6,9.8,50.42,115.1,2.35,539,CA,0
Tehama,36,64007,14062,18.2,11.27,50.72,17.6,3.23,517,CA,1
Tulare,29.2,54247,15342,28.2,7.65,49.96,68.7,2.87,632,CA,0
Tuolumne,37.2,75885,16919,12,10.67,47.37,22.6,1.32,387,CA,1
Ventura,31.7,57175,21837,11.1,10.52,50.39,372,1.88,439,CA,1
Yolo,28.9,72646,19586,16.6,8.97,49.59,143.2,4.95,712,CA,1
Yuba,29.2,37114,13956,21.1,10.26,49.96,96.3,1.37,622,CA,0
Adams,30.7,23650,16715,12.9,12.83,50.27,235.1,3.76,692,CO,1
Alamosa,28.1,65165,13935,24,8.3,50.76,19.2,7.84,650,CO,1
Arapahoe,32.4,59827,24963,6.7,10.83,51.16,523.7,2.83,654,CO,0
Bent,39.1,83252,16563,20,25.04,48.09,3.3,11.2,226,CO,1
Boulder,31.6,66155,23661,8.3,9.77,49.97,320.5,2.62,563,CO,1
Chaffee,37.1,34978,14582,14.1,15.47,46.14,12.7,7.98,391,CO,0
Cheyenne,32,252148,22942,9.9,9.6,49.12,1.4,12,144,CO,0
Crowley,34.2,33100,12074,30.9,9.75,37.53,5.1,12.5,20,CO,0
Delta,40.7,64889,14386,17.4,12.26,50.25,19.3,14.43,270,CO,0
Denver,33.9,159683,24184,18,14.01,51.3,3162.4,4.92,861,CO,1
Douglas,32.3,31325,26345,2.8,5.23,49.7,87,1,233,CO,0
Elbert,33.8,20518,19050,6.1,8.99,49.91,5.8,2.96,144,CO,0
El Paso,30.2,46370,18342,12.1,10.97,49.74,197.8,3.19,562,CO,0
Fremont,37.7,55091,13374,17.4,13.29,48.04,21.5,17.94,373,CO,0
Garfield,32.8,85107,17552,10.4,9.7,49.03,10.6,7.85,403,CO,1
Gunnison,28.2,75537,15395,12.2,10.89,46.78,3.3,3.89,866,CO,1
Huerfano,39.6,43061,13464,24.9,12.8,51.07,3.7,6.78,332,CO,1
Jefferson,33.3,49028,22563,6.2,12.05,50.53,589.1,5.37,494,CO,0
Kiowa,37,81638,25714,11.5,16.19,50.7,0.9,15.63,69,CO,0
Kit Carson,34.9,157813,20128,12.8,11.43,50.51,3.3,5.28,300,CO,0
La Plata,31.9,71699,17714,12.4,10.1,49.64,20.4,3.29,502,CO,1
Larimer,31.1,51416,18404,10.8,9.15,50.57,76.2,4.78,180,CO,1
Las Animas,37.7,79200,13208,24.8,13.34,51.16,2.9,12.55,393,CO,1
Lincoln,36.9,141193,21016,16.2,11.91,42.7,1.8,17.39,187,CO,0
Logan,34.7,90658,17526,14.8,12.93,51.14,9.4,9.83,444,CO,0
Mesa,34.7,63968,16917,14.2,11.73,51.38,29.5,6.57,547,CO,0
Moffat,31.8,50988,17826,11.7,15.6,49.28,2.4,4.31,389,CO,0
Montezuma,33.3,89807,15127,17.1,10.67,51.21,9.6,3.74,488,CO,0
Montrose,37.1,89816,15909,12.7,12.18,51.09,11.4,10.16,404,CO,0
Morgan,33.1,85987,18110,15.5,11.82,50.93,17.7,9.78,436,CO,0
Otero,34.9,73156,15185,24.4,12.66,51.6,15.9,19.3,416,CO,1
Phillips,38.5,116671,18999,11,12.22,52.54,6,9.51,66,CO,0
Prowers,32,132074,15730,21.3,9.42,51.24,8,7.27,577,CO,0
Pueblo,34.7,52264,15582,20.7,14.48,51.46,51.8,6.2,651,CO,1
Rio Blanco,32.3,110260,17470,9.4,13.95,49.19,1.9,4.03,334,CO,0
Rio Grande,33.7,52253,15286,23,11.85,50.54,11.7,10.93,328,CO,0
Routt,32.4,119068,22654,6.5,10.97,46.62,6.4,3.05,374,CO,1
Sedgwick,40.8,83346,18661,12,15.92,51.21,4.7,11.54,104,CO,0
Teller,34.6,54644,19068,9.3,9.77,48.95,24.8,2.54,374,CO,0
Washington,37.3,128854,19003,13,13.07,50.15,1.8,6.09,87,CO,0
Weld,30.5,55994,16466,15.3,10.26,50.44,34.1,4.88,565,CO,0
Yuma,35.8,133721,19370,12,11.92,51.01,3.8,12,224,CO,0
Fairfield,35.5,191020,36257,7.7,13.34,52.01,1322.7,6.75,512,CT,0
Hartford,34.5,199847,26063,11.2,12.8,51.72,1151.5,10.82,595,CT,1
Litchfield,35.7,140960,24501,5.5,12.83,51.13,192.1,6.71,175,CT,0
Middlesex,34.8,139647,25217,5.2,12.97,51.1,392.1,9.12,232,CT,1
New Haven,34.2,159677,23651,11,12.59,51.86,1323.9,9.34,618,CT,1
New London,32.5,106965,22301,8.3,13.79,50.15,372.2,7.7,263,CT,1
Tolland,31.5,94933,20956,5.1,11.75,49.86,316.5,2.55,114,CT,1
Windham,32.7,84472,19510,9.6,11.76,51.14,201.2,9.09,133,CT,1
Kent,31.1,120322,16094,13,10.47,50.97,196.4,7.72,390,DE,0
New Castle,32.5,631534,23628,9.9,11.99,51.34,1065.9,4.84,425,DE,1
Sussex,36.4,130718,17484,13.9,9.98,51.4,127.3,10.17,233,DE,0
Alachua,28.3,67103,17520,20.2,9.09,51.01,216.1,4.02,1082,FL,1
Baker,30.2,40609,13593,19.4,9.05,47.21,33,3.47,372,FL,0
Bay,33.2,41969,16424,16.3,10.35,51.04,174.7,3.42,740,FL,0
Bradford,33.6,55896,12438,21.6,13.76,44.38,78.4,4.3,759,FL,0
Brevard,36.2,67498,18715,11.6,11.42,50.49,417.5,2.66,668,FL,0
Broward,37.7,73135,22929,12.3,11.15,52.33,1084.5,2.64,853,FL,1
Calhoun,33.5,45242,11330,22.3,7.69,48.65,20.1,12.19,77,FL,0
Charlotte,53.6,88873,17584,10,8.81,51.8,173.6,5.55,366,FL,0
Citrus,50.8,89403,14941,15.5,9.75,52.08,171.5,5.15,276,FL,0
Clay,32,42602,17407,8.8,8.88,50.81,189.5,4.35,487,FL,0
Collier,40.7,126370,28557,13.1,7.56,50.29,81.6,3.67,571,FL,0
Columbia,33.6,56503,14089,20.4,10.73,50.99,55.7,2.07,728,FL,0
Duval,31.5,82961,18857,15.4,11.57,50.8,903,3.68,1033,FL,0
Escambia,32.4,70654,16345,20.3,12.48,51.36,407.2,4.24,741,FL,0
Flagler,46.4,104754,14689,10.9,5.84,51.97,69.3,2.83,372,FL,1
Franklin,38.9,51274,13963,21.1,10.57,50.57,17.2,14.13,242,FL,0
Gadsden,31.8,45618,13185,29.2,8.77,52.39,81.8,4.27,511,FL,1
Gilchrist,33.5,46294,12536,17.8,7.89,47.07,29.8,11.15,139,FL,1
Gulf,35.7,36246,13797,19.3,10.08,50.13,20.7,9.91,214,FL,0
Hamilton,30.9,14973,12066,24.3,7.3,47.1,21.8,5.36,19,FL,1
Hardee,32.8,96343,15621,27,10.27,49.21,31.5,3.73,556,FL,0
Hendry,30.3,59821,17157,22.9,7.19,49.32,24,4.08,465,FL,0
Hernando,49.5,89897,14930,13.9,6.84,51.91,229.6,4.53,476,FL,1
Highlands,51.5,93767,16275,16.9,9.71,52.41,69.2,7.4,639,FL,0
Hillsborough,33,86182,18401,17,10.43,51.13,814.9,3.58,1043,FL,0
Holmes,35.6,46441,11892,24.6,10.56,49.23,33.8,7.24,120,FL,0
Indian River,44,138696,26637,11.5,9.58,51.62,186.2,4.48,585,FL,0
Jackson,34.3,62200,14271,20.9,10.58,48.92,46.4,6.94,217,FL,0
Jefferson,33.8,56216,14175,22.9,8.81,49.53,19.6,4.7,492,FL,1
Lake,44.7,101453,17326,14.1,9.62,51.96,170.3,6.2,452,FL,0
Lee,42,102447,20349,12.3,9.07,51.76,439.4,3.71,626,FL,0
Leon,28.8,75763,17976,14.9,8.78,51.75,303.8,3.36,1206,FL,1
Levy,38.5,66825,12847,19.2,10.24,52.15,24.2,6.42,445,FL,1
Madison,32.3,47323,12325,23.8,8.56,48.53,24.1,6.41,311,FL,1
Manatee,43.1,89672,20904,12.9,10.08,52.55,295.3,6.26,848,FL,0
Marion,40,68657,15633,18.4,8.8,51.76,131.5,3.02,663,FL,0
Martin,44.5,120549,29881,10.8,9.85,50.77,188.8,3.84,556,FL,0
Monroe,38.8,111797,22453,11.5,14.45,47.35,80.1,3.6,957,FL,1
Nassau,33.4,42532,19059,11.9,9.98,50.49,72,2.52,425,FL,0
Okaloosa,31.5,71158,17767,11.2,10.71,49.8,163.4,2.84,371,FL,0
Okeechobee,34.3,68035,13683,21.8,8.59,48.75,39.3,5.1,482,FL,1
Orange,31.5,79270,18920,14.7,9.56,50.3,785,4.55,887,FL,0
Osceola,33.7,56749,15266,14,6.01,50.97,90.1,5.08,801,FL,0
Palm Beach,39.9,89950,31407,12.3,9.19,51.78,460.4,5.38,901,FL,1
Pasco,48,90991,15427,14.6,11.1,52.49,385.5,4.97,447,FL,1
Pinellas,42.1,109640,21721,12.8,13.79,53.24,3081.4,8.92,734,FL,1
Polk,36.5,76139,16280,17.9,10.13,51.5,223.5,4.28,892,FL,0
Putnam,37.3,42137,13281,24.3,11.42,51.14,92.5,2.35,848,FL,1
St. Johns,37,81562,23965,11.8,8.73,51.5,148.3,4.98,683,FL,0
St. Lucie,37.9,67471,15425,15.9,7.84,50.93,281.7,5.1,643,FL,0
Santa Rosa,32.5,57891,16150,12.6,8.93,50.18,88.7,3.02,393,FL,0
Sarasota,49,138285,27785,9.9,11.19,53.17,498.6,8.29,692,FL,0
Seminole,33.3,55465,19694,9.9,9.26,51.11,1004.2,2.69,592,FL,0
Sumter,40.1,34141,13285,21.7,10.86,49.65,59.4,5.77,407,FL,1
Suwannee,36.5,53874,13975,19.3,9.37,51.67,41,15.71,318,FL,0
Taylor,33.5,37261,13963,20.6,11.87,51.33,16.6,6.47,354,FL,0
Volusia,39.4,102898,16388,15.4,10.56,51.62,352.3,6.43,608,FL,1
Wakulla,34.2,40833,14183,15.4,9.95,50.84,25.4,7.53,227,FL,0
Walton,37.8,32464,13562,18.7,11.21,49.69,27.9,4.03,212,FL,0
Washington,37.3,24995,12870,21.2,10.27,51.69,30,10.06,94,FL,0
Appling,32.3,42773,12725,21.2,7.93,51.76,31.4,1.94,200,GA,0
Bacon,31.7,87193,13056,24.2,8.18,52.54,34.4,8.37,204,GA,1
Baldwin,31.9,88596,16195,19.1,9.44,48.41,156.3,13.84,409,GA,1
Barrow,31.1,67746,14985,15.2,7,51.06,197.9,4.83,385,GA,0
Bartow,31.5,57532,15193,13,7.52,50.67,129.2,1.97,286,GA,0
Ben Hill,32.4,119063,14482,23.7,8.99,54.16,65.9,14.16,536,GA,1
Berrien,32.9,67781,14452,19.9,9.08,51.24,31.8,7.43,254,GA,1
Bibb,32.6,76630,18657,23.5,11.68,53.44,608.8,7.42,867,GA,1
Bleckley,32.6,82649,15466,17.4,9.75,51.84,48.8,6.98,141,GA,1
Brooks,32.1,41679,13093,29.8,8.54,52.83,31.2,12.21,326,GA,1
Bulloch,26.1,85664,13214,22.4,7.09,51.42,66.5,6.78,392,GA,0
Burke,29.6,60470,12699,29.2,7.07,52.69,25.3,7.67,324,GA,1
Butts,32.4,66241,14173,18.7,9.05,47.2,84.1,12.48,276,GA,1
Calhoun,33.5,113227,15112,29.2,8.41,54.79,17.5,12.24,253,GA,1
Camden,27.2,27287,12197,11.2,4.24,45.91,59.7,1.44,289,GA,0
Candler,34.6,103484,15555,25.5,9.65,52.5,32.4,35.75,54,GA,1
Carroll,30.4,62832,14798,16,7.53,51.52,148,7.17,461,GA,0
Catoosa,33.9,37852,13415,12.6,11.54,51.63,273.1,4.4,308,GA,0
Charlton,30.4,66347,11564,21.3,8.39,51.51,11.3,10.34,66,GA,0
Chatham,32.2,87632,19023,20,10.59,52.28,504.1,5.35,816,GA,0
Chattooga,34.8,54196,14066,15,11.33,52.03,71.4,6.61,157,GA,1
Cherokee,31.1,52897,17175,7.5,5.84,49.67,240.7,3.07,223,GA,0
